"from","type","to","polarity","evidence_status","rationale","source_ids","origin"
"pedagogy:academic-language-multilingual","supports","pedagogy:reading-comprehension-knowledge","positive","strong","Academic language and vocabulary support disciplinary text understanding without replacing content.","source:ell-wwc | source:reading-comprehension-wwc","0.1.0"
"pedagogy:achievement-goal-orientation","complements","pedagogy:expectancy-value-theory","positive","context-dependent","Goal orientation describes what success means; expectancy-value describes whether it is pursued.","source:elliot-mcgregor | source:eccles-wigfield-2020","0.2.0"
"pedagogy:actionable-feedback","supports","pedagogy:metacognitive-calibration","positive","context-dependent","External performance information can correct monitoring and guide strategy changes.","source:feedback-meta | source:metacognition-meta","0.1.0"
"pedagogy:actionable-feedback","supports","pedagogy:retrieval-practice","positive","strong","Corrective feedback repairs failed or erroneous retrieval.","source:retrieval-meta | source:feedback-meta","0.1.0"
"pedagogy:active-learning-stem","implements","pedagogy:icap-engagement-hypothesis","positive","context-dependent","Active learning designs vary in how far up the ICAP ordering they reach.","source:freeman-active-learning | source:icap | source:chi-overt-activities","0.2.0"
"pedagogy:active-learning-stem","requires","pedagogy:checking-for-understanding","positive","strong","The benefit comes from eliciting and responding to every learner's current state.","source:freeman-active-learning | source:wiliam-assessment","0.2.0"
"pedagogy:adolescent-agency","implements","pedagogy:motivation-need-support","conditional","context-dependent","Meaningful bounded choice and identity-safe relationships can support autonomy and belonging.","source:adolescent-nasem | source:hpl2","0.1.0"
"pedagogy:adolescent-reading-intervention","requires","pedagogy:simple-view-of-reading","positive","strong","Older struggling readers must be routed by component profile, not by age.","source:reading-intervention-wwc | source:hoover-gough-svr","0.2.0"
"pedagogy:adult-competency-frameworks","moderates","pedagogy:adult-self-directed-learning","conditional","normative-standard","Population proficiency data constrains realistic assumptions about adult learners.","source:oecd-piaac | source:merriam-adult-theory","0.2.0"
"pedagogy:adult-self-directed-learning","requires","pedagogy:metacognitive-calibration","conditional","context-dependent","Self-direction depends on monitoring, strategy selection, and feedback rather than adult age.","source:hpl2 | source:metacognition-meta","0.1.0"
"pedagogy:adult-self-directed-learning","requires","pedagogy:transfer-bridging","conditional","context-dependent","Workplace learning succeeds only when knowledge generalizes and is maintained in the work environment.","source:hpl2 | source:transfer-taxonomy","0.1.0"
"pedagogy:algebra-instruction-strategies","complements","pedagogy:math-strategy-comparison","positive","context-dependent","Strategy comparison is one of the algebra guide's recommended practices.","source:algebra-wwc | source:rittle-johnson-star-comparison","0.2.0"
"pedagogy:algebra-instruction-strategies","implements","pedagogy:worked-examples-fading","positive","strong","Solved-problem analysis is worked-example instruction in algebra.","source:algebra-wwc | source:worked-examples-meta","0.2.0"
"pedagogy:analogical-case-comparison","supports","pedagogy:transfer-bridging","positive","strong","Explicit comparison is one of the few reliable levers on transfer.","source:gentner-analogical | source:transfer-taxonomy","0.2.0"
