"entry_id","facet","value"
"pedagogy:academic-language-multilingual","layer","tactic"
"pedagogy:academic-language-multilingual","grainSize","unit-course"
"pedagogy:academic-language-multilingual","maturity","established"
"pedagogy:academic-language-multilingual","tradition","sociocultural"
"pedagogy:academic-language-multilingual","tradition","critical-equity"
"pedagogy:academic-language-multilingual","domain","multilingual"
"pedagogy:academic-language-multilingual","domain","literacy"
"pedagogy:academic-language-multilingual","lifespanStage","primary"
"pedagogy:academic-language-multilingual","lifespanStage","middle"
"pedagogy:academic-language-multilingual","lifespanStage","secondary"
"pedagogy:academic-language-multilingual","function","explain"
"pedagogy:academic-language-multilingual","function","access"
"pedagogy:academic-language-multilingual","evidenceStatus","strong"
"pedagogy:academic-language-multilingual","recommendationStatus","candidate-default-with-fit-check"
"pedagogy:accessibility-by-design","layer","constraint"
"pedagogy:accessibility-by-design","grainSize","program-system"
"pedagogy:accessibility-by-design","maturity","established"
"pedagogy:accessibility-by-design","tradition","critical-equity"
"pedagogy:accessibility-by-design","tradition","instructional-design"
"pedagogy:accessibility-by-design","domain","digital-environments"
"pedagogy:accessibility-by-design","domain","special-education"
"pedagogy:accessibility-by-design","lifespanStage","cross-lifespan"
"pedagogy:accessibility-by-design","function","access"
"pedagogy:accessibility-by-design","evidenceStatus","normative-standard"
"pedagogy:accessibility-by-design","recommendationStatus","candidate-default-with-fit-check"
"pedagogy:achievement-goal-orientation","layer","construct"
"pedagogy:achievement-goal-orientation","grainSize","unit-course"
"pedagogy:achievement-goal-orientation","maturity","consolidating"
"pedagogy:achievement-goal-orientation","tradition","motivational-social"
"pedagogy:achievement-goal-orientation","domain","general"
"pedagogy:achievement-goal-orientation","lifespanStage","middle"
"pedagogy:achievement-goal-orientation","lifespanStage","secondary"
"pedagogy:achievement-goal-orientation","lifespanStage","postsecondary"
"pedagogy:achievement-goal-orientation","lifespanStage","adult-workplace"
"pedagogy:achievement-goal-orientation","function","motivate"
"pedagogy:achievement-goal-orientation","function","climate"
"pedagogy:achievement-goal-orientation","function","diagnose"
"pedagogy:achievement-goal-orientation","evidenceStatus","context-dependent"
"pedagogy:achievement-goal-orientation","recommendationStatus","contextual-option"
"pedagogy:actionable-feedback","layer","tactic"
"pedagogy:actionable-feedback","grainSize","micro-move"
"pedagogy:actionable-feedback","maturity","established"
"pedagogy:actionable-feedback","tradition","cognitive"
"pedagogy:actionable-feedback","tradition","motivational-social"
"pedagogy:actionable-feedback","domain","general"
"pedagogy:actionable-feedback","lifespanStage","cross-lifespan"
"pedagogy:actionable-feedback","function","feedback"
"pedagogy:actionable-feedback","evidenceStatus","strong"
"pedagogy:actionable-feedback","recommendationStatus","candidate-default-with-fit-check"
"pedagogy:active-learning-stem","layer","method"
"pedagogy:active-learning-stem","grainSize","lesson"
"pedagogy:active-learning-stem","maturity","established"
"pedagogy:active-learning-stem","tradition","cognitive"
"pedagogy:active-learning-stem","tradition","instructional-design"
"pedagogy:active-learning-stem","domain","science"
"pedagogy:active-learning-stem","domain","mathematics"
"pedagogy:active-learning-stem","domain","engineering-design"
"pedagogy:active-learning-stem","domain","computing"
"pedagogy:active-learning-stem","lifespanStage","postsecondary"
"pedagogy:active-learning-stem","function","practice"
"pedagogy:active-learning-stem","function","feedback"
"pedagogy:active-learning-stem","function","collaborate"
"pedagogy:active-learning-stem","evidenceStatus","strong"
"pedagogy:active-learning-stem","recommendationStatus","candidate-default-with-fit-check"
"pedagogy:adolescent-agency","layer","principle"
"pedagogy:adolescent-agency","grainSize","program-system"
"pedagogy:adolescent-agency","maturity","consolidating"
"pedagogy:adolescent-agency","tradition","developmental"
"pedagogy:adolescent-agency","tradition","motivational-social"
"pedagogy:adolescent-agency","domain","general"
"pedagogy:adolescent-agency","lifespanStage","middle"
"pedagogy:adolescent-agency","lifespanStage","secondary"
"pedagogy:adolescent-agency","function","motivate"
"pedagogy:adolescent-agency","function","climate"
"pedagogy:adolescent-agency","evidenceStatus","context-dependent"
"pedagogy:adolescent-agency","recommendationStatus","contextual-option"
"pedagogy:adolescent-reading-intervention","layer","method"
"pedagogy:adolescent-reading-intervention","grainSize","program-system"
"pedagogy:adolescent-reading-intervention","maturity","established"
"pedagogy:adolescent-reading-intervention","tradition","cognitive"
"pedagogy:adolescent-reading-intervention","tradition","instructional-design"
"pedagogy:adolescent-reading-intervention","domain","literacy"
"pedagogy:adolescent-reading-intervention","domain","special-education"
"pedagogy:adolescent-reading-intervention","lifespanStage","middle"
"pedagogy:adolescent-reading-intervention","lifespanStage","secondary"
"pedagogy:adolescent-reading-intervention","function","diagnose"
"pedagogy:adolescent-reading-intervention","function","practice"
"pedagogy:adolescent-reading-intervention","function","explain"
"pedagogy:adolescent-reading-intervention","evidenceStatus","strong"
"pedagogy:adolescent-reading-intervention","recommendationStatus","candidate-default-with-fit-check"
"pedagogy:adult-competency-frameworks","layer","framework"
"pedagogy:adult-competency-frameworks","grainSize","program-system"
"pedagogy:adult-competency-frameworks","maturity","established"
"pedagogy:adult-competency-frameworks","tradition","psychometric"
"pedagogy:adult-competency-frameworks","domain","professional-workplace"
"pedagogy:adult-competency-frameworks","domain","literacy"
"pedagogy:adult-competency-frameworks","domain","mathematics"
"pedagogy:adult-competency-frameworks","lifespanStage","adult-workplace"
"pedagogy:adult-competency-frameworks","lifespanStage","older-adult"
"pedagogy:adult-competency-frameworks","function","assess"
"pedagogy:adult-competency-frameworks","function","diagnose"
"pedagogy:adult-competency-frameworks","function","access"
"pedagogy:adult-competency-frameworks","evidenceStatus","normative-standard"
"pedagogy:adult-competency-frameworks","recommendationStatus","contextual-option"
"pedagogy:adult-self-directed-learning","layer","principle"
"pedagogy:adult-self-directed-learning","grainSize","program-system"
"pedagogy:adult-self-directed-learning","maturity","consolidating"
"pedagogy:adult-self-directed-learning","tradition","motivational-social"
"pedagogy:adult-self-directed-learning","tradition","instructional-design"
"pedagogy:adult-self-directed-learning","domain","professional-workplace"
"pedagogy:adult-self-directed-learning","domain","general"
"pedagogy:adult-self-directed-learning","lifespanStage","postsecondary"
"pedagogy:adult-self-directed-learning","lifespanStage","adult-workplace"
"pedagogy:adult-self-directed-learning","lifespanStage","older-adult"
"pedagogy:adult-self-directed-learning","function","self-regulate"
"pedagogy:adult-self-directed-learning","function","motivate"
"pedagogy:adult-self-directed-learning","evidenceStatus","context-dependent"
"pedagogy:adult-self-directed-learning","recommendationStatus","contextual-option"
"pedagogy:algebra-instruction-strategies","layer","method"
"pedagogy:algebra-instruction-strategies","grainSize","unit-course"
"pedagogy:algebra-instruction-strategies","maturity","established"
"pedagogy:algebra-instruction-strategies","tradition","cognitive"
"pedagogy:algebra-instruction-strategies","tradition","instructional-design"
"pedagogy:algebra-instruction-strategies","domain","mathematics"
"pedagogy:algebra-instruction-strategies","lifespanStage","middle"
"pedagogy:algebra-instruction-strategies","lifespanStage","secondary"
"pedagogy:algebra-instruction-strategies","function","explain"
"pedagogy:algebra-instruction-strategies","function","practice"
"pedagogy:algebra-instruction-strategies","function","transfer"
"pedagogy:algebra-instruction-strategies","evidenceStatus","strong"
"pedagogy:algebra-instruction-strategies","recommendationStatus","contextual-option"
"pedagogy:analogical-case-comparison","layer","tactic"
"pedagogy:analogical-case-comparison","grainSize","micro-move"
"pedagogy:analogical-case-comparison","maturity","established"
"pedagogy:analogical-case-comparison","tradition","cognitive"
"pedagogy:analogical-case-comparison","domain","general"
"pedagogy:analogical-case-comparison","domain","mathematics"
"pedagogy:analogical-case-comparison","domain","science"
"pedagogy:analogical-case-comparison","domain","professional-workplace"
"pedagogy:analogical-case-comparison","lifespanStage","middle"
"pedagogy:analogical-case-comparison","lifespanStage","secondary"
"pedagogy:analogical-case-comparison","lifespanStage","postsecondary"
"pedagogy:analogical-case-comparison","lifespanStage","adult-workplace"
"pedagogy:analogical-case-comparison","function","transfer"
"pedagogy:analogical-case-comparison","function","explain"
"pedagogy:analogical-case-comparison","evidenceStatus","strong"
"pedagogy:analogical-case-comparison","recommendationStatus","candidate-default-with-fit-check"
"pedagogy:andragogy","layer","theory"
"pedagogy:andragogy","grainSize","unit-course"
"pedagogy:andragogy","maturity","disputed"
"pedagogy:andragogy","tradition","instructional-design"
"pedagogy:andragogy","tradition","motivational-social"
"pedagogy:andragogy","domain","professional-workplace"
"pedagogy:andragogy","domain","general"
"pedagogy:andragogy","lifespanStage","postsecondary"
"pedagogy:andragogy","lifespanStage","adult-workplace"
"pedagogy:andragogy","lifespanStage","older-adult"
"pedagogy:andragogy","function","motivate"
"pedagogy:andragogy","function","sequence"
"pedagogy:andragogy","evidenceStatus","contested"
"pedagogy:andragogy","recommendationStatus","do-not-generalize"
"pedagogy:assessment-fair-access","layer","constraint"
"pedagogy:assessment-fair-access","grainSize","program-system"
"pedagogy:assessment-fair-access","maturity","established"
"pedagogy:assessment-fair-access","tradition","psychometric"
"pedagogy:assessment-fair-access","tradition","critical-equity"
"pedagogy:assessment-fair-access","domain","assessment-measurement"
"pedagogy:assessment-fair-access","domain","special-education"
"pedagogy:assessment-fair-access","lifespanStage","cross-lifespan"
"pedagogy:assessment-fair-access","function","assess"
"pedagogy:assessment-fair-access","function","access"
"pedagogy:assessment-fair-access","evidenceStatus","normative-standard"
"pedagogy:assessment-fair-access","recommendationStatus","candidate-default-with-fit-check"
"pedagogy:assessment-for-learning-strategies","layer","framework"
"pedagogy:assessment-for-learning-strategies","grainSize","lesson"
"pedagogy:assessment-for-learning-strategies","maturity","established"
"pedagogy:assessment-for-learning-strategies","tradition","instructional-design"
"pedagogy:assessment-for-learning-strategies","tradition","psychometric"
"pedagogy:assessment-for-learning-strategies","domain","assessment-measurement"
"pedagogy:assessment-for-learning-strategies","domain","general"
"pedagogy:assessment-for-learning-strategies","lifespanStage","primary"
"pedagogy:assessment-for-learning-strategies","lifespanStage","middle"
"pedagogy:assessment-for-learning-strategies","lifespanStage","secondary"
"pedagogy:assessment-for-learning-strategies","lifespanStage","postsecondary"
"pedagogy:assessment-for-learning-strategies","function","assess"
"pedagogy:assessment-for-learning-strategies","function","feedback"
"pedagogy:assessment-for-learning-strategies","function","self-regulate"
"pedagogy:assessment-for-learning-strategies","function","collaborate"
"pedagogy:assessment-for-learning-strategies","evidenceStatus","strong"
"pedagogy:assessment-for-learning-strategies","recommendationStatus","candidate-default-with-fit-check"
