"from","type","to","polarity","evidence_status","rationale","source_ids"
"pedagogy:prior-knowledge-diagnostic","moderates","pedagogy:cognitive-load-design","conditional","strong","The same material imposes different effective demands depending on relevant schemas.","source:hpl2 | source:cognitive-load"
"pedagogy:prior-knowledge-diagnostic","moderates","pedagogy:worked-examples-fading","conditional","strong","Examples are most useful for novices and can become redundant as expertise grows.","source:worked-examples-meta | source:cognitive-load"
"pedagogy:prior-knowledge-diagnostic","moderates","pedagogy:productive-failure","conditional","context-dependent","Generation before instruction requires enough knowledge to produce interpretable attempts.","source:productive-failure-meta"
"pedagogy:contingent-scaffolding","should-fade-into","pedagogy:metacognitive-calibration","positive","context-dependent","Responsibility should move from external support toward learner monitoring and control.","source:scaffolding-review | source:metacognition-meta"
"pedagogy:cognitive-load-design","supports","pedagogy:worked-examples-fading","positive","strong","Worked examples can reduce unproductive novice search on structured tasks.","source:cognitive-load | source:worked-examples-meta"
"pedagogy:cognitive-load-design","supports","pedagogy:multimedia-coherence","positive","context-dependent","Coherence and integrated references reduce avoidable processing and split attention.","source:cognitive-load | source:ies-study"
"pedagogy:worked-examples-fading","should-fade-into","pedagogy:retrieval-practice","positive","context-dependent","As knowledge grows, learners need to retrieve and generate rather than continue copying full solutions.","source:worked-examples-meta | source:retrieval-meta"
"pedagogy:worked-examples-fading","complements","pedagogy:self-explanation","conditional","context-dependent","Explanation can focus attention on solution decisions, but prompts must be accurate and proportionate.","source:worked-examples-meta | source:icap"
"pedagogy:retrieval-practice","complements","pedagogy:spacing","positive","strong","Spaced retrieval combines the retention advantages of distributed encounters and active recall.","source:retrieval-meta | source:spacing-meta"
"pedagogy:actionable-feedback","supports","pedagogy:retrieval-practice","positive","strong","Corrective feedback repairs failed or erroneous retrieval.","source:retrieval-meta | source:feedback-meta"
"pedagogy:spacing","complements","pedagogy:interleaving-discrimination","conditional","context-dependent","Interleaving often spaces each category, though its distinctive target is discrimination and strategy selection.","source:interleaving-meta | source:spacing-meta"
"pedagogy:interleaving-discrimination","supports","pedagogy:transfer-bridging","conditional","context-dependent","Mixed practice can support selection under varied conditions when categories are appropriate for comparison.","source:interleaving-meta | source:transfer-taxonomy"
"pedagogy:self-explanation","supports","pedagogy:transfer-bridging","conditional","context-dependent","Explaining deep relations can help abstract structure beyond surface features.","source:ies-study | source:hpl2"
"pedagogy:actionable-feedback","supports","pedagogy:metacognitive-calibration","positive","context-dependent","External performance information can correct monitoring and guide strategy changes.","source:feedback-meta | source:metacognition-meta"
"pedagogy:formative-assessment-cycle","requires","pedagogy:assessment-triangle","positive","normative-standard","Formative inferences require construct-aligned elicitation and interpretation.","source:assessment-nrc | source:formative-critique"
"pedagogy:formative-assessment-cycle","implements","pedagogy:actionable-feedback","conditional","context-dependent","Feedback is one possible evidence-contingent next action inside the cycle.","source:formative-review | source:feedback-meta"
"pedagogy:assessment-validity-precision","requires","pedagogy:assessment-triangle","positive","normative-standard","A validity argument depends on explicit cognition, observation, and interpretation links.","source:assessment-nrc | source:testing-standards"
"pedagogy:assessment-fair-access","part-of","pedagogy:assessment-validity-precision","positive","normative-standard","Construct-irrelevant access barriers undermine intended score interpretations.","source:testing-standards"
"pedagogy:assessment-fair-access","requires","pedagogy:accessibility-by-design","positive","normative-standard","Accessible delivery and interaction are prerequisites for fair digital assessment.","source:testing-standards | source:wcag22"
"pedagogy:delayed-transfer-assessment","supports","pedagogy:assessment-validity-precision","conditional","context-dependent","Claims about retention or generalization require observations beyond immediate practiced performance.","source:assessment-nrc | source:transfer-taxonomy"
"pedagogy:multimedia-coherence","does-not-imply","pedagogy:learning-styles-matching","negative","refuted","Content-appropriate complementary media do not validate matching instruction to a preferred modality label.","source:learning-styles | source:ies-study"
"pedagogy:concrete-abstract-linking","supports","pedagogy:transfer-bridging","conditional","context-dependent","Mapping the same relation across forms can prepare use beyond one representation.","source:ies-study | source:transfer-taxonomy"
"pedagogy:structured-collaboration","implements","pedagogy:icap-engagement-hypothesis","conditional","hypothesis","Substantive co-construction may instantiate interactive engagement; mere group seating does not.","source:icap | source:collaboration-meta"
"pedagogy:productive-failure","implements","pedagogy:productive-struggle","conditional","context-dependent","Productive failure is a narrower, specified generation-then-consolidation sequence within the broader struggle label.","source:productive-failure-meta"
"pedagogy:productive-struggle","does-not-imply","pedagogy:productive-failure","negative","contested","Observed difficulty is not evidence that a high-fidelity productive-failure design is present.","source:productive-failure-meta"
"pedagogy:motivation-need-support","supports","pedagogy:metacognitive-calibration","conditional","context-dependent","Agency, competence, and belonging can support sustained self-regulation when effective strategies are available.","source:motivation-meta | source:hpl2"
"pedagogy:growth-mindset-warning","does-not-imply","pedagogy:motivation-need-support","negative","contested","A brief malleability message is not equivalent to providing autonomy, competence support, belonging, effective strategies, or resources.","source:growth-mindset-meta | source:motivation-meta"
"pedagogy:developmental-context-calibration","moderates","pedagogy:early-intentional-practice","conditional","strong","Target, language, pacing, and support should follow observed development and context rather than a fixed age script.","source:hpl2 | source:early-childhood-wwc"
"pedagogy:guided-play","implements","pedagogy:contingent-scaffolding","conditional","context-dependent","Responsive adult guidance can scaffold a clear goal while preserving child agency.","source:guided-play-review | source:scaffolding-review"
"pedagogy:adolescent-agency","implements","pedagogy:motivation-need-support","conditional","context-dependent","Meaningful bounded choice and identity-safe relationships can support autonomy and belonging.","source:adolescent-nasem | source:hpl2"
"pedagogy:udl-options","complements","pedagogy:accessibility-by-design","conditional","contested","Proactive options may reduce barriers but do not replace WCAG conformance, accommodations, or assistive technology.","source:udl-review | source:wcag22"
"pedagogy:literacy-phoneme-grapheme","precedes","pedagogy:reading-comprehension-knowledge","conditional","strong","Accurate decoding supports text access while oral language and comprehension knowledge must develop in parallel.","source:literacy-wwc | source:reading-comprehension-wwc"
"pedagogy:academic-language-multilingual","supports","pedagogy:reading-comprehension-knowledge","positive","strong","Academic language and vocabulary support disciplinary text understanding without replacing content.","source:ell-wwc | source:reading-comprehension-wwc"
"pedagogy:writing-model-practice-reflect","implements","pedagogy:worked-examples-fading","conditional","context-dependent","Teacher modeling and mentor texts externalize decisions before support fades toward independent writing.","source:writing-wwc | source:worked-examples-meta"
"pedagogy:writing-model-practice-reflect","requires","pedagogy:actionable-feedback","positive","strong","Writers need usable information and revision opportunities to refine decisions.","source:writing-wwc | source:feedback-meta"
"pedagogy:early-math-progression","requires","pedagogy:prior-knowledge-diagnostic","positive","context-dependent","A progression should be navigated from observed mathematical strategies, not chronological age alone.","source:early-math-wwc | source:hpl2"
"pedagogy:math-systematic-representations","implements","pedagogy:concrete-abstract-linking","positive","strong","Effective intervention explicitly connects selected models, language, quantities, and symbols.","source:math-intervention-wwc | source:ies-study"
"pedagogy:math-strategy-comparison","implements","pedagogy:interleaving-discrimination","conditional","context-dependent","Comparing alternative methods practices discrimination and procedural choice after initial acquisition.","source:algebra-wwc | source:interleaving-meta"
"pedagogy:science-three-dimensional","implements","pedagogy:transfer-bridging","conditional","context-dependent","Crosscutting concepts and repeated practices are intended to connect ideas across phenomena and disciplines.","source:science-framework | source:transfer-taxonomy"
"pedagogy:computing-practices","requires","pedagogy:actionable-feedback","positive","context-dependent","Testing and debugging turn artifact behavior into information for revision.","source:cs-framework | source:feedback-meta"
"pedagogy:adult-self-directed-learning","requires","pedagogy:metacognitive-calibration","conditional","context-dependent","Self-direction depends on monitoring, strategy selection, and feedback rather than adult age.","source:hpl2 | source:metacognition-meta"
"pedagogy:adult-self-directed-learning","requires","pedagogy:transfer-bridging","conditional","context-dependent","Workplace learning succeeds only when knowledge generalizes and is maintained in the work environment.","source:hpl2 | source:transfer-taxonomy"
"pedagogy:deliberate-practice-bounds","requires","pedagogy:actionable-feedback","positive","context-dependent","Focused correction depends on valid, specific performance information.","source:feedback-meta | source:hpl2"
"pedagogy:deliberate-practice-bounds","complements","pedagogy:spacing","conditional","context-dependent","Focused repetitions need scheduling and recovery; massed hours are not the target construct.","source:spacing-meta | source:hpl2"
