"id","label","layer","maturity","traditions","domains","lifespan_stages","functions","grain_size","summary","mechanism","task_types","contexts","prerequisites","constraints","risks","observable_evidence","evidence_status","evidence_confidence","evidence_basis","directness","generalizability","effect","recommendation_status","recommendation_rationale","source_ids","source_locators","tags","provenance"
"pedagogy:academic-language-multilingual","Academic language integrated with content for multilingual learners","tactic","established","sociocultural | critical-equity","multilingual | literacy","primary | middle | secondary","explain | access","unit-course","Provide repeated meaningful encounters and productive use of high-utility academic language within grade-level disciplinary content.","Speaking, reading, and writing connect language forms to disciplinary concepts across multiple contexts and representations.","content learning | academic reading | disciplinary writing","multilingual classroom | content area","Selected high-utility language | Structured oral interaction | Attention to home-language and cultural knowledge","Maintain access to grade-level ideas | Distinguish language proficiency from content understanding","Decontextualized vocabulary replacing content | Deficit assumptions about multilingual learners | Assessment language obscuring the construct","Meaningful language use across modes and tasks; measure=Understanding and production in speaking, reading, writing, and novel content application; timing=Across repeated encounters and a new disciplinary task; caveat=English surface fluency is not a complete measure of disciplinary understanding","strong","high","IES/WWC evidence-rated guidance supports intensive academic vocabulary and integrated oral and written language in content teaching.","direct-intervention","Elementary and middle-school English learners; adapt to language histories and disciplines.","","candidate-default-with-fit-check","Build academic language through authentic disciplinary use while preserving content rigor and multilingual assets.","source:ell-wwc | source:hpl2","","literacy | multilingual | language | equity","inherited"
"pedagogy:accessibility-by-design","Accessibility by design","constraint","established","critical-equity | instructional-design","digital-environments | special-education","cross-lifespan","access","program-system","Make learning content and interaction perceivable, operable, understandable, and robust across sensory, motor, and cognitive access needs.","Semantic structure, alternatives, captions, keyboard access, visible focus, contrast, and predictable interaction remove barriers before learning can occur.","digital learning | media | document | assessment","web | app | slides | remote learning","Semantic structure | Assistive-technology compatibility | Human testing with affected users","WCAG conformance is a floor, not proof of usability or learning | Retain individualized accommodations","Automated conformance treated as completion | Inaccessible fallback path | Alternative format changing the construct","Equivalent task access; measure=WCAG checks, keyboard and screen-reader completion, captions, errors, abandonment, and learner-reported barriers; timing=During design and after deployment; caveat=Accessibility enables participation but does not itself prove learning effectiveness","normative-standard","high","W3C international technical standard; learning gains require separate study.","normative","Digital content and interaction for all ages.","","candidate-default-with-fit-check","Treat access as a prerequisite and verify with both conformance tests and real task completion.","source:wcag22 | source:testing-standards","","accessibility | digital | standard | equity","inherited"
"pedagogy:achievement-goal-orientation","Achievement goal orientation","construct","consolidating","motivational-social","general","middle | secondary | postsecondary | adult-workplace","motivate | climate | diagnose","unit-course","Learners pursue mastery or performance goals in approach or avoidance form, and these orientations predict different patterns of strategy use and response to difficulty.","The goal a learner adopts determines what counts as success, and therefore whether difficulty is information or threat.","response to difficulty | help seeking | strategy choice","classroom | assessment systems | workplace learning","A goal structure the environment actually signals | Measurement of adopted rather than assigned goals","Performance-approach goals are not uniformly harmful | Environmental goal structure and personal goals are distinct | Effects on achievement are small and inconsistent","Labelling learners by orientation | Assuming mastery framing alone changes behaviour in a competitive system | Reading avoidance as low ability","Goal adoption and response to difficulty; measure=Validated goal scales plus observed help-seeking and persistence after failure; timing=During challenging work; caveat=Assessment and grading structures often override stated framing","context-dependent","moderate","A well-developed measurement literature with consistent process findings and small, inconsistent achievement effects.","mixed-direct-and-inferential","Mostly secondary and higher education self-report studies.","","contextual-option","Change what the environment rewards before trying to change learner goal talk; never use as a learner label.","source:elliot-mcgregor | source:eccles-wigfield-2020","","construct | motivation | climate | learner-traits","new"
"pedagogy:actionable-feedback","Actionable task- and process-focused feedback","tactic","established","cognitive | motivational-social","general","cross-lifespan","feedback","micro-move","Give specific information about the current task or strategy and a usable next step, then allow the learner to act on it.","Feedback reduces uncertainty about the gap between current and desired performance and can redirect strategy and monitoring.","practice | draft revision | skill refinement","teacher feedback | peer review | adaptive system","A clear goal or success criterion | An authentic opportunity to revise or retry","Calibrate amount and timing | Preserve the learner's next cognitive action","Person-focused praise or blame | Answer-giving that creates dependence | Overload or interruption | Assuming feedback is uniformly beneficial","Feedback uptake and reduced repeated error; measure=Revision quality, next-task strategy, independent performance, and error recurrence; timing=On the next attempt and delayed transfer; caveat=Learner satisfaction is not a learning measure","strong","high","Large meta-analytic evidence shows a positive average with substantial heterogeneity and documented negative effects.","direct-intervention","Broad, but effects depend on attention target, information content, timing, and opportunity to act.","","candidate-default-with-fit-check","Strong candidate when it is informative, task-focused, proportionate, and followed by action.","source:feedback-meta | source:retrieval-meta","","general | feedback | revision | practice","inherited"
"pedagogy:active-learning-stem","Active learning in postsecondary STEM","method","established","cognitive | instructional-design","science | mathematics | engineering-design | computing","postsecondary","practice | feedback | collaborate","lesson","Replacing continuous lecture with structured student activity raises exam performance and cuts failure rates in undergraduate STEM courses, with larger relative gains for underrepresented students.","Frequent required responses surface misconceptions during class, provide retrieval and feedback, and shift processing to the learner.","concept mastery | problem solving | large-lecture instruction","higher education | large lecture | laboratory","Prepared conceptual questions or tasks | A response mechanism for every student | Instructor willingness to adapt on the spot","'Active' covers a wide range of designs of very different quality | Publication bias likely inflates the average | Learners often report learning less while learning more","Labelling any group activity as active learning | Abandoning the method because students rate it lower | Reducing it to unstructured discussion","Exam and concept-inventory performance and failure rate; measure=Common exams or validated concept inventories plus DFW rates, disaggregated by subgroup; timing=Across a term; caveat=Student satisfaction can move opposite to learning","strong","high","Large meta-analyses of controlled comparisons in undergraduate STEM, plus a direct experiment showing perceived learning diverges from measured learning.","direct-intervention","Undergraduate STEM in particular; the label covers heterogeneous designs.","metric=d; value=0.47; note=Examination performance; failure rates about 1.5 times higher under lecturing. Achievement-gap reductions of roughly a third reported for underrepresented students.","candidate-default-with-fit-check","Well-evidenced for undergraduate STEM; expect and pre-empt the perceived-learning dip.","source:freeman-active-learning | source:theobald-active-equity | source:deslauriers-feeling","","method | engagement | equity | practice","new"
"pedagogy:adolescent-agency","Adolescent agency, identity, and flexible pathways","principle","consolidating","developmental | motivational-social","general","middle | secondary","motivate | climate","program-system","Offer adolescents meaningful bounded choices, supportive relationships, reflection, and pathways connected to interests, identity, and purpose.","Increasing capacities for abstract reasoning, decision-making, and identity formation can be channeled by authentic agency and relational safety.","project | transition | goal setting | community problem","secondary school | community learning | career exploration","Authentic choices | Safe supportive relationships | Differentiated pace and access","Keep instruction and scaffolding available | Respect within-age variability","Token choice | Treating adolescents only as risk | Assuming independence without support | Neuromyths","Purposeful agency with learning progress; measure=Choice rationale, goal revision, belonging, persistence, decision quality, and project/reflection artifact; timing=Across a meaningful project or transition; caveat=Agency should not be inferred from compliance or option clicking","context-dependent","moderate","National Academies consensus recommendations; specific program effects remain implementation-dependent.","consensus-design","Roughly ages 10-25 with high individual and contextual variability.","","contextual-option","Pair meaningful choice with relationships, competence support, and observable learning goals.","source:adolescent-nasem | source:hpl2","","adolescent | agency | identity | motivation","inherited"
"pedagogy:adolescent-reading-intervention","Reading intervention for older struggling readers","method","established","cognitive | instructional-design","literacy | special-education","middle | secondary","diagnose | practice | explain","program-system","Older struggling readers benefit from targeted intervention that builds word recognition where needed while explicitly developing vocabulary, knowledge, and comprehension of complex text.","Older learners' difficulties are heterogeneous, so effective intervention diagnoses the component profile and targets it rather than repeating primary-grade instruction.","decoding gaps in older learners | comprehension of complex text | vocabulary growth","intervention | secondary classroom | small group","Component diagnosis before placement | Age-appropriate materials | Sufficient intensity and duration","Effects for older learners are typically smaller than for early intervention | Motivation and identity issues are material at this age | Multi-component programmes make attribution hard","Infantilizing materials | Assuming all older struggling readers need phonics | Short low-intensity blocks with no measurable effect","Component-matched growth; measure=Component diagnostics plus standardized comprehension, with attendance and intensity records; timing=Across the intervention period; caveat=Group-level gains can hide non-responders who need a different profile","strong","moderate","Evidence-rated practice guides for adolescent literacy and for grades 4-9 reading interventions.","direct-intervention","Middle and secondary struggling readers in United States studies.","","candidate-default-with-fit-check","Diagnose the component profile first; do not default to either phonics or comprehension strategies for all older struggling readers.","source:reading-intervention-wwc | source:adolescent-literacy-wwc","","method | literacy | intervention | adolescent","new"
"pedagogy:adult-competency-frameworks","Adult competency frameworks and population skill data","framework","established","psychometric","professional-workplace | literacy | mathematics","adult-workplace | older-adult","assess | diagnose | access","program-system","Large-scale adult competency assessments describe literacy, numeracy, and problem-solving proficiency across populations, and reveal that a substantial share of adults operate at low proficiency levels.","Standardized proficiency scales make population-level skill distributions comparable and expose the gap between assumed and actual adult capability.","programme targeting | readability and design decisions | policy analysis","policy | workplace learning | product design","Correct interpretation of proficiency levels | Recognition that population data does not describe an individual","Population-level data cannot classify an individual | Proficiency levels are constructed cut points, not natural categories | Country comparisons carry substantial methodological caveats","Designing adult materials for an assumed high proficiency | Using population statistics to stereotype a group | Reading proficiency levels as fixed capacity","Design against realistic proficiency distributions; measure=Usability and comprehension testing with the actual target population; timing=During design; caveat=Designers systematically overestimate typical proficiency","normative-standard","high","A large international assessment programme providing standardized population proficiency data; descriptive rather than causal.","normative","Participating countries; population-level only.","","contextual-option","Use to calibrate design assumptions about adult materials; never to characterize an individual learner.","source:oecd-piaac | source:testing-standards","","framework | adult | measurement | access","new"
"pedagogy:adult-self-directed-learning","Supported adult self-directed learning","principle","consolidating","motivational-social | instructional-design","professional-workplace | general","postsecondary | adult-workplace | older-adult","self-regulate | motivate","program-system","Give adults meaningful control over goals and resources when readiness, domain knowledge, time, feedback, and workplace support make self-direction viable.","Goal setting, resource selection, monitoring, and authentic application can align learning with professional needs, but these capacities are not guaranteed by age.","professional learning | continuing education | workplace problem","workplace | health professions | online course","Sufficient domain and metacognitive skill | Reliable resources | Feedback | Protected time | Supportive work environment","Combine choice with scaffolds and access | Measure workplace generalization and maintenance","Assuming all adults are inherently self-directed | Offloading instructional responsibility | Ignoring culture, power, access, aging, or workplace climate","Independent regulation and authentic transfer; measure=Goal quality, calibration, strategy and resource changes, objective skill, workplace behavior, and maintenance; timing=Across learning and later work performance; caveat=Satisfaction and completion alone do not establish learning or transfer","context-dependent","moderate","National Academies lifespan synthesis supports active engagement and self-regulation while warning that age, context, and support matter.","mixed-direct-and-inferential","Adult and workplace learning; domain-specific intervention evidence is heterogeneous.","","contextual-option","Route on readiness and context evidence, never adult age alone.","source:hpl2 | source:metacognition-meta | source:transfer-taxonomy","","adult | self-direction | workplace | metacognition","inherited"
"pedagogy:algebra-instruction-strategies","Algebra instruction: structure, solved problems, and strategy choice","method","established","cognitive | instructional-design","mathematics","middle | secondary","explain | practice | transfer","unit-course","Algebra learning improves when learners analyse solved problems, attend to the structure of expressions and equations, and deliberately choose among solution strategies.","Studying solved problems shows the reasoning behind steps; structural attention supports valid transformations rather than memorized manipulations.","equation solving | expression manipulation | algebraic reasoning","secondary classroom | tutoring | adaptive software","Arithmetic and rational-number foundations | Solved problems with reasoning made visible | Discussion of strategy choice","Comparing strategies requires a baseline foothold, or it overloads novices | Structural language must be taught, not assumed | Procedural drilling alone produces brittle transfer","Strategy comparison before any strategy is secure | Solved problems presented without discussion | Memorized manipulation rules with no structural meaning","Structure-based reasoning and strategy choice; measure=Novel equation forms plus justification of chosen strategy; timing=Across the unit and at delay; caveat=Correct answers can be produced by pattern-matching the practised forms","strong","moderate","Evidence-rated practice guide for algebra with recommendations on solved problems, structure, and strategy choice.","direct-intervention","Middle and secondary algebra in United States settings.","","contextual-option","Sequence solved-problem analysis before strategy comparison; check that structure language is actually being used.","source:algebra-wwc | source:worked-examples-meta | source:rittle-johnson-star-comparison","source:algebra-wwc: Recommendations on using solved problems and on teaching students to utilize structure (minimal to moderate evidence ratings)","method | mathematics | example | comparison","new"
