"id","label","kind","summary","mechanism","learner_stages","task_types","contexts","prerequisites","constraints","risks","observable_evidence","evidence_status","evidence_confidence","evidence_basis","directness","generalizability","recommendation_status","recommendation_rationale","source_ids","tags"
"pedagogy:prior-knowledge-diagnostic","Prior-knowledge activation and diagnostic probing","principle","Elicit task-relevant prior knowledge before choosing support, because existing knowledge can enable integration or produce systematic interference.","Existing schemas reduce processing demands and supply structures for inference; an observable probe lets instruction target the current task rather than a presumed learner type.","early-childhood | K-12 | adult","concept learning | problem solving | transfer","classroom | tutoring | workplace learning","A task-bounded construct map or prerequisite hypothesis | A low-burden probe that does not reveal the target answer","Treat results as episode-specific evidence | Re-probe when context or representation changes","Inferring stable ability from one response | Using chronological age or demographic group as a substitute for evidence","Relevant knowledge and strategy use; measure=Explanation, worked response, error pattern, and response to a neutral hint; timing=Before selection and again after support; caveat=A failed probe can reflect language, access, affect, or task misunderstanding rather than absent knowledge","strong","high","National Academies cross-lifespan consensus plus convergent instructional research.","mixed-direct-and-inferential","Broad principle; the probe must be domain- and task-specific.","candidate-default-with-fit-check","Task-bounded evidence is safer than age-, label-, or preference-based routing.","source:hpl2","general | diagnostic | development | learner-evidence"
"pedagogy:contingent-scaffolding","Contingent scaffolding with fading","tactic","Provide support contingent on current evidence, reduce it as competence grows, and transfer responsibility to the learner.","Temporary prompts, models, representations, or task simplifications keep the target operation possible while preserving a path to independent performance.","early-childhood | K-12 | adult","novel complex task | strategy acquisition | guided practice","one-to-one | small group | adaptive software","A diagnosis of the current bottleneck | A support hierarchy and an independent target performance","Support must be contingent, faded, and responsibility-transferring | Check unassisted performance","Permanent prompting and learned dependence | Giving answers while preserving only superficial activity","Declining assistance with stable or improving performance; measure=Hint level, independent completion, explanation, and transfer task; timing=Across attempts and after support removal; caveat=Success while a scaffold is visible is not evidence of independent learning","context-dependent","moderate","Systematic review identifies contingency, fading, and transfer of responsibility as defining features; enactment quality varies.","mixed-direct-and-inferential","Broad across instruction, but the scaffold must fit the domain and current evidence.","contextual-option","Useful when an observed bottleneck can be supported without replacing the target cognitive work.","source:scaffolding-review | source:hpl2","general | support | adaptive | independence"
"pedagogy:cognitive-load-design","Cognitive-load-aware design","principle","Reduce avoidable processing in complex novel tasks while preserving effort that serves the learning goal.","Limited working memory constrains the number of interacting unfamiliar elements that can be processed; prior schemas reduce effective demand.","K-12 | adult","novel procedure | complex explanation | multimedia learning","instructional materials | interfaces | demonstrations","Estimate prior knowledge and element interactivity | Identify which processing is necessary for the target","Do not equate all difficulty with harmful load | Triangulate load rather than infer it from errors alone","Oversimplifying away the learning goal | Treating disputed load subtypes or self-reports as direct mental measurements | Encoding capacity as a stable learner trait","Lower avoidable effort with equal or better delayed learning; measure=Errors, time, mental-effort rating, assistance, retention, and transfer; timing=During task and on delayed independent checks; caveat=Fluent performance can reflect shallow processing; a single effort rating is insufficient","context-dependent","moderate","The limited-working-memory premise and several design effects are well supported; mechanisms, measurement, and boundary conditions remain debated.","mixed-direct-and-inferential","Strongest for novices learning high-element-interactivity material.","contextual-option","Use as a design lens tied to prior knowledge and outcomes, not as a universal difficulty minimizer.","source:cognitive-load | source:hpl2","general | working-memory | design | novice"
"pedagogy:worked-examples-fading","Worked examples followed by fading","tactic","Let novices study accurate solution processes, then progressively remove steps and shift to independent solving.","Examples reduce unproductive means-ends search and direct attention toward solution structure; fading restores retrieval and generation demands as knowledge grows.","upper-primary | secondary | adult","structured procedure | mathematics | programming | technical skill","initial instruction | guided practice","Accurate example aligned to the target | Prompts or comparison that require processing | A plan for subsequent independent practice","Prior knowledge moderates benefit | Test independent and transfer performance","Passive copying | Redundancy and expertise reversal | Examples that omit expert decision points","Independent solution structure and reduced assistance; measure=Explanation of decisions, error pattern, independent solution, and transfer; timing=After example study and after fading; caveat=Correct imitation of the shown procedure is a weak transfer measure","strong","high","Meta-analytic and evidence-rated practice-guide support for novice structured learning, with expertise and design moderators.","direct-intervention","Strongest in mathematics and well-structured tasks; less certain in open-ended domains.","candidate-default-with-fit-check","A strong candidate for novices when paired with active processing, fading, and independent checks.","source:worked-examples-meta | source:ies-study | source:cognitive-load","general | example | novice | practice"
"pedagogy:retrieval-practice","Retrieval practice / active recall","tactic","Prompt learners to recall target knowledge from memory instead of only re-exposing them to it.","Effortful retrieval strengthens future accessibility and reveals gaps; corrective feedback repairs unsuccessful or erroneous recall.","primary | secondary | adult","fact retention | concept recall | application preparation","low-stakes quiz | flashcards | free recall | classroom questioning","Enough initial encoding to attempt retrieval | Corrective feedback for errors or omissions","Keep stakes low | Vary prompts when transfer matters | Separate retrieval success from final learning","Using high-stakes testing as pedagogy | Reinforcing errors without feedback | Overfitting to item wording","Durable accessible knowledge; measure=Delayed free/cued recall plus application or inference items; timing=After a meaningful delay; caveat=Immediate quiz accuracy overstates durable learning","strong","high","Large classroom meta-analysis and evidence syntheses support a moderate average benefit with meaningful moderators.","direct-intervention","Broad across ages and content, but outcome match, feedback, repetitions, and delay matter.","candidate-default-with-fit-check","Prefer low-stakes, feedback-supported retrieval with delayed measurement.","source:retrieval-meta | source:ies-study | source:hpl2","general | memory | practice | assessment"
"pedagogy:spacing","Spacing / distributed practice","tactic","Distribute repeated encounters over time rather than massing them in one session.","Later encounters require reminding or retrieval and occur in varied temporal contexts, slowing forgetting.","primary | secondary | adult","retention | skill maintenance | relearning","curriculum scheduling | practice systems | workplace recertification","Multiple encounters | A target retention horizon","Gap choice depends on desired retention interval and difficulty | Too-long gaps can produce retrieval failure","Treating one schedule as optimal for every item | Assuming expanding gaps are always superior","Slower forgetting and efficient relearning; measure=Delayed retention curve and relearning savings; timing=Across multiple delays; caveat=In-session difficulty can increase even while long-term retention improves","strong","high","Large quantitative synthesis and evidence-rated institutional guidance.","direct-intervention","Broad for retention; exact schedules are context-dependent.","candidate-default-with-fit-check","Build revisits into curricula and tools, then adapt intervals to retention evidence.","source:spacing-meta | source:ies-study | source:hpl2","general | memory | schedule | retention"
"pedagogy:interleaving-discrimination","Interleaving for discrimination","tactic","Mix confusable categories or problem types so learners repeatedly choose the relevant concept or procedure.","Juxtaposition highlights discriminating features and practices strategy selection; part of the benefit may come from spacing.","upper-primary | secondary | adult","category induction | problem-type selection | visual discrimination","practice set | review","Some initial knowledge of each category | Items whose comparison exposes a consequential distinction","Material type and similarity moderate outcomes | Blocked acquisition may precede mixed selection practice","Universalizing from math or visual categories to prose or vocabulary | Mistaking lower practice performance for lower learning","Correct discrimination and strategy selection; measure=Delayed classification, selected method, justification, and transfer; timing=After mixed practice and delay; caveat=Measure selection, not only execution after the category is named","context-dependent","high","Meta-analysis finds a positive average with large material moderators, including null or reversed domains.","direct-intervention","Best supported for visual categories and mathematics; not general for expository text or word learning.","contextual-option","Use when the target is discrimination among confusable types and learners have initial footholds.","source:interleaving-meta | source:ies-study","general | practice | discrimination | transfer"
"pedagogy:self-explanation","Self-explanation and deep explanatory questioning","tactic","Ask learners to explain why a fact, step, representation, or causal link makes sense and how it connects to prior knowledge.","Generating explanations exposes gaps, integrates new information with schemas, and makes relations available for inference.","primary | secondary | adult","concept integration | worked-example study | causal reasoning","individual reflection | peer explanation | guided questioning","Sufficient domain knowledge to generate a meaningful explanation | A prompt aimed at a consequential relation","Provide feedback or models when explanations can entrench misconceptions | Avoid generic why prompts for every step","Fluent but incorrect explanations | Prompt overload | Scoring verbosity rather than conceptual relations","Integrated and revisable explanation; measure=Presence and correctness of causal, structural, or principle-based links plus transfer; timing=During learning and on a novel application; caveat=Longer explanations are not necessarily better","context-dependent","moderate","Evidence-rated guidance supports deep explanatory questions; effectiveness depends on knowledge, prompt, and feedback.","mixed-direct-and-inferential","Broad mechanism with domain-specific implementation.","contextual-option","Retrieve when explanation quality can be observed and corrected.","source:ies-study | source:icap | source:hpl2","general | elaboration | explanation | reasoning"
"pedagogy:actionable-feedback","Actionable task- and process-focused feedback","tactic","Give specific information about the current task or strategy and a usable next step, then allow the learner to act on it.","Feedback reduces uncertainty about the gap between current and desired performance and can redirect strategy and monitoring.","early-childhood | K-12 | adult","practice | draft revision | skill refinement","teacher feedback | peer review | adaptive system","A clear goal or success criterion | An authentic opportunity to revise or retry","Calibrate amount and timing | Preserve the learner's next cognitive action","Person-focused praise or blame | Answer-giving that creates dependence | Overload or interruption | Assuming feedback is uniformly beneficial","Feedback uptake and reduced repeated error; measure=Revision quality, next-task strategy, independent performance, and error recurrence; timing=On the next attempt and delayed transfer; caveat=Learner satisfaction is not a learning measure","strong","high","Large meta-analytic evidence shows a positive average with substantial heterogeneity and documented negative effects.","direct-intervention","Broad, but effects depend on attention target, information content, timing, and opportunity to act.","candidate-default-with-fit-check","Strong candidate when it is informative, task-focused, proportionate, and followed by action.","source:feedback-meta | source:retrieval-meta","general | feedback | revision | practice"
"pedagogy:metacognitive-calibration","Metacognitive calibration and self-regulation","framework","Teach learners to plan, monitor against evidence, select or change strategies, and evaluate outcomes.","More accurate monitoring supports better allocation of effort, strategy choice, and help seeking across a learning cycle.","upper-primary | secondary | adult","independent study | complex problem solving | long projects","classroom | online learning | workplace","Concrete domain strategies | Models and guided practice before independent regulation | External performance evidence","Use delayed or performance-grounded judgments | Fade generic prompts when learners internalize the cycle","Equating confidence with calibration | Generic reflection that adds load | Assuming novices can self-direct without knowledge","Monitoring accuracy and adaptive control; measure=Predicted-versus-actual performance, logged strategy changes, help seeking, and delayed outcome; timing=Before, during, and after a task; caveat=Self-report alone does not establish regulation or learning","context-dependent","moderate","Meta-analyses support explicit metacognitive strategy instruction, while transfer and prompt effects vary.","direct-intervention","Across school and adult learning, contingent on domain knowledge and explicit strategy instruction.","contextual-option","Use concrete, domain-grounded cycles tied to objective evidence rather than free-form reflection.","source:metacognition-meta | source:ies-study | source:hpl2","general | metacognition | self-regulation | adult"
"pedagogy:transfer-bridging","Transfer through varied cases and explicit bridging","principle","Teach for transfer by varying relevant contexts, comparing cases, naming deep structure, and testing uncued use after delay.","Learners must abstract a relevant relation, notice a cue, retrieve prior knowledge, and adapt it; each step can fail independently.","primary | secondary | adult","novel application | workplace use | cross-context reasoning","curriculum | simulation | professional training","Robust domain knowledge | Multiple cases that vary surface features while preserving target structure","Pre-specify near and far outcomes | Measure uncued and delayed use","Assuming far transfer from one example | Calling immediate isomorphic performance transfer | Using self-report as the only workplace outcome","Independent use across changed contexts; measure=Near/far task, changed representation or social setting, uncued application, and maintenance; timing=After delay and in a new context; caveat=Cued transfer and near transfer should be reported separately","context-dependent","high","Research syntheses show transfer is moderated by knowledge, cueing, similarity, context, and environment support.","mixed-direct-and-inferential","The transfer problem is general; effective bridges remain domain-specific.","contextual-option","Treat transfer as a designed and measured outcome, never an automatic consequence.","source:transfer-taxonomy | source:hpl2 | source:interleaving-meta","general | transfer | comparison | measurement"
"pedagogy:formative-assessment-cycle","Formative assessment as an adaptive cycle","framework","Elicit evidence, interpret it against a learning goal, and change the next learner or instructional action.","A valid short-cycle signal reduces uncertainty about the current gap and makes feedback, regrouping, reteaching, or learner revision responsive.","early-childhood | K-12 | adult","ongoing learning | diagnosis | revision","classroom | tutoring | training","Clear learning goal and success criteria | An elicitation aligned to the construct | Authority and time to respond","The cycle is formative only if evidence changes a next action | Keep interpretations proportional to evidence","Calling any quiz formative | Collecting dashboards without adaptation | Repeating broad effect-size claims across heterogeneous implementations","Evidence-contingent next action and gap closure; measure=Documented regrouping, reteaching, feedback uptake, revision, and follow-up task; timing=Within the instructional cycle; caveat=The existence of a score or quiz is not evidence of formative use","context-dependent","moderate","Influential positive review plus a critical review documenting definition, implementation, and magnitude problems.","mixed-direct-and-inferential","Broad logic; effects depend heavily on domain, implementation, population, and follow-through.","contextual-option","Retrieve the full evidence-to-action loop, not an assessment event in isolation.","source:formative-review | source:formative-critique | source:assessment-nrc","assessment | feedback | adaptive | measurement"
"pedagogy:assessment-triangle","Assessment triangle: cognition, observation, interpretation","framework","Align a model of the target competence, tasks that elicit relevant observations, and an interpretation model linking observations to claims.","Explicit claim-evidence-task mappings limit overinterpretation and surface construct gaps or irrelevant barriers.","early-childhood | K-12 | adult","diagnostic assessment | performance task | test design","classroom | program evaluation | large-scale assessment","Explicit construct and intended use | Task specification and interpretation rules","Validation is ongoing | Evidence burden rises with stakes","Choosing a task format before defining the claim | Overinterpreting sparse evidence | Ignoring construct-irrelevant language or interface demands","Traceable claim-evidence-task alignment; measure=Mapping coverage, scoring agreement, empirical fit, and documented limitations; timing=Before deployment and during monitoring; caveat=A coherent design argument still requires empirical evidence","normative-standard","high","National Academies consensus design framework.","consensus-design","Applies to assessment design across domains; not a causal intervention estimate.","candidate-default-with-fit-check","Use as a design and review contract for any consequential pedagogical claim.","source:assessment-nrc | source:testing-standards","assessment | validity | design | provenance"
